#{"t_start": 1555632639.189728, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,823,7.507772
-21.0,831,13.3334
-21.0,764,18.877139
-21.0,759,24.805828
-21.0,760,30.14956
-19.0,1060,37.62478
-20.0,913,44.28845
-20.0,899,50.706308
-21.0,889,57.11896
-20.0,926,63.664841
-20.0,840,69.456516
-21.0,837,75.46353
-21.0,817,81.324636
-21.0,867,87.413963
-20.0,925,94.027886
-21.0,789,99.717234
-21.0,880,106.049535
-19.0,974,113.048782
-19.0,1056,120.505673
-19.0,941,127.228456
-19.0,1032,134.681968
-20.0,893,140.920834
-21.0,941,147.669203
-21.0,805,153.502014
-21.0,805,159.191497
-21.0,819,165.385356
-19.0,993,172.588641
-21.0,883,179.045418
-20.0,928,185.800132
-21.0,869,191.896129
-20.0,835,198.13862
-21.0,897,204.697993
-21.0,944,211.784612
-20.0,931,218.738733
-21.0,997,226.175491
-20.0,975,233.694637
-19.0,945,240.944177
-20.0,1014,248.523849
-20.0,1054,256.512621
-21.0,997,263.790294
-20.0,1078,271.593859
-21.0,946,278.539602
-19.0,1259,287.646035
-19.0,1116,295.767593
-20.0,1054,303.567383
-17.0,1494,314.510497
-18.0,1157,323.237597
-20.0,1150,331.681184
-19.0,1380,341.963768
-17.0,1544,353.268775
-20.0,1343,363.291608
-17.0,1660,375.354285
-20.0,1450,385.985211
-20.0,1809,399.030426
-18.0,1657,411.462649
-18.0,2196,427.661457
-13.0,1902,442.599587
-20.0,1620,455.152552
-18.0,1979,470.043146
-10.0,2687,489.906358
-20.0,2062,505.625384
-9.0,2687,525.522482
-13.0,2267,542.233634
-17.0,1823,555.892435
-13.0,2229,572.841387
-4.0,3081,595.840889
-12.0,2606,615.195092
-8.0,3159,638.730963
-14.0,2160,655.338086
