#{"t_start": 1555703881.115833, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
121,1002,6.882358
265,7997,43.015122
428,3469,58.94044
411,4893,81.598742
716,7283,116.366696
802,5778,144.696043
769,6124,173.230538
118,554,175.791741
903,3554,194.032278
406,7800,232.778274
148,462,234.852902
602,803,238.502481
531,4887,262.523713
197,432,264.522967
187,320,266.031549
719,7154,300.984868
-11,1244,307.42515
940,4456,328.432579
555,1387,335.812648
185,7997,375.794987
368,7814,413.809791
817,4938,438.180047
214,272,439.463857
541,3991,458.292987
144,364,460.008231
564,1734,468.830507
192,7997,508.801012
93,1325,515.346978
428,8110,554.567809
543,1473,561.484888
773,7858,599.581908
446,3910,617.778363
168,392,619.498899
694,7532,655.465418
554,1136,660.924466
196,7997,701.025909
247,8056,742.698297
199,7997,783.182841
226,7997,827.455935
574,3804,849.950838
674,7726,893.751873
630,4294,919.185437
591,7997,959.171193
220,276,960.344743
200,252,961.433789
896,3931,979.949366
157,912,984.191852
538,1325,991.295491
511,2157,1002.307535
857,4623,1024.94653
1154,3769,1044.309189
489,6309,1076.905478
197,7997,1117.369944
221,450,1119.435881
139,649,1123.457679
205,344,1125.160795
146,356,1126.922409
182,282,1128.307311
564,4273,1150.645333
125,392,1152.694469
927,3090,1169.842772
267,7997,1214.894258
420,7499,1257.613476
209,223,1258.869039
692,7577,1298.430729
432,7997,1339.11252
40,510,1341.656872
236,151,1342.419949
388,8055,1384.593841
502,6697,1419.878869
466,2623,1434.034378
585,871,1438.435314
539,5367,1467.983992
613,2917,1482.81501
641,2053,1494.002305
202,394,1495.80137
76,711,1499.144139
