#{"t_start": 1555826226.702278, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
679,2500,15.995249
129,7997,59.352606
-55,1604,68.33812
-125,8055,111.930962
-54,1634,120.746405
-243,7997,164.198461
-327,7997,207.599556
-382,7997,250.632551
-317,7997,294.085029
-443,7997,337.616608
-433,7997,380.661332
-445,7997,424.172369
-274,5876,455.806669
-445,7997,499.349754
-305,6426,534.441545
-428,7997,577.552886
-435,7997,621.105775
-410,7997,664.777103
-265,7997,707.823309
-442,7997,751.519102
-275,7997,795.237949
-258,7997,838.405486
-367,7997,882.184946
-35,4998,909.130508
-312,7997,952.848514
-307,7997,996.669074
-322,7997,1039.749206
42,7997,1083.751182
-82,8055,1128.037897
144,410,1130.266046
-203,7997,1173.462762
58,8055,1217.786398
120,428,1220.1074
144,755,1224.212799
-113,2510,1237.821999
56,8055,1282.315801
81,1999,1293.13186
-22,7997,1337.271893
-157,7997,1381.325305
39,813,1385.715984
-246,7997,1428.858256
-451,7997,1472.93976
-412,7997,1516.997574
-329,7535,1557.577188
-377,7997,1601.665376
-446,7997,1645.732809
-106,4113,1667.907958
-99,2940,1683.73569
-268,5964,1716.923783
-426,7997,1761.769323
-400,7997,1810.154525
-366,7511,1855.626817
-46,2582,1870.938668
10,1279,1878.519808
-186,7997,1926.8867
-379,7997,1974.195717
29,641,1977.983142
-384,7997,2026.372929
-234,7997,2074.780791
-272,7997,2122.01256
4,767,2126.550942
-185,8055,2175.404092
-80,2073,2187.700411
-277,7997,2236.189208
-54,1337,2244.089299
-116,8055,2292.919743
92,520,2296.01189
-328,7997,2343.29806
-67,3000,2362.31741
-419,7997,2409.568164
-400,7997,2458.068305
-390,7997,2506.559074
-77,2051,2518.677112
-414,7997,2567.196939
-447,7997,2614.354988
-353,7997,2662.830765
-389,7997,2711.465402
-427,7997,2758.705438
-343,7997,2807.4897
-255,7997,2856.250243
63,737,2860.618885
-315,7997,2907.932887
-199,8055,2957.069451
-83,3242,2976.278565
-61,1259,2983.772751
73,8055,3032.956008
-101,8055,3082.162779
494,5300,3113.615022
42,865,3118.793311
151,1034,3124.946464
-180,8055,3174.412619
-187,8055,3223.690643
-170,7997,3270.98706
-165,3381,3292.642643
-141,7997,3339.944824
-134,7997,3388.922995
-221,7997,3437.974793
62,3445,3458.375871
55,2009,3470.266315
-172,7997,3519.326283
-455,7997,3566.508375
-327,7997,3615.56774
-357,7997,3664.64081
-359,7997,3711.879095
-239,7997,3761.010568
-455,7997,3810.151231
-296,7997,3857.411103
-413,7997,3906.579589
-405,7997,3955.825847
-289,7997,4003.099476
-37,7997,4052.338674
-14,1018,4058.353065
32,908,4063.762701
45,1772,4074.226712
13,1076,4080.614179
-169,5252,4113.710742
7,1281,4121.312865
-123,4566,4148.294196
-230,5256,4181.417495
-285,7997,4228.609514
-342,7997,4277.868186
-430,7997,4327.097519
-421,7997,4374.229189
-435,7997,4423.515434
-399,7997,4472.843352
-379,7997,4520.029223
-152,3262,4541.487302
-438,7997,4588.682535
-189,4109,4615.12574
-412,7997,4662.327005
-413,7997,4711.787127
-455,7997,4761.286121
-413,7997,4808.424359
-455,7997,4857.927695
-455,7997,4907.451235
-455,7997,4954.592932
-455,7997,5004.159435
-452,7997,5053.771408
